uuid,text,LLM_Answer
17af879e-9455-4dbc-b2bc-b2b1b849e805,"VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT EuroMedia Holdings Corp.', 'Rogers', 'Rogers Cable Communications Inc.', 'Licensor July 11 , 2006 July 11 , 2006 The term of this Agreement (the ""Initial Term"") shall commence as of the Effective Date and, unless earlier terminated in accordance with this Agreement, shall terminate on June 30, 2010. This Agreement is subject to all laws, regulations, license conditions and decisions of the Canadian Radio-television and Telecommunications Commission (""CRTC"") municipal, provincial and federal governments or other authorities which are applicable to Rogers and/or Licensor, and which are now in force or hereafter adopted (""Applicable Law"").', 'This Agreement shall be governed by laws of the Province of Ontario and the federal laws of Canada applicable therein.","Document name: VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT
Parties: EuroMedia Holdings Corp. # Rogers Cable Communications Inc.
Agreement date: 7/11/2006
Effective date: 7/11/2006
Expiration date: 6/30/2010
Governing law: Ontario"
e18e3862-8f3e-4c92-974d-b6ea8ac1ce35,"CONTENT LICENSE AGREEMENT YOU ON DEMAND HOLDINGS, INC.', 'Licensor', 'Licensee', 'Beijing Sun Seven Stars Culture Development Limited December 21, 2015 December 21, 2015 The Term of this Agreement (the ""Term"") shall commence on the Effective Date listed above and continue for twenty (20) years, unless sooner terminated as provided in Section 7(b) [Term and Termination]. This Agreement shall be governed by and construed in all respects in accordance with the laws of the State of New York, without giving effect to any conflicts of laws principles.","Document name: CONTENT LICENSE AGREEMENT
Parties: YOU ON DEMAND HOLDINGS, INC. # Beijing Sun Seven Stars Culture Development Limited
Agreement date: 12/21/2015
Effective date: 12/21/2015
Expiration date: 12/21/2035
Governing law: New York"
0facc77f-1d2a-4645-92d8-5abb5f88b6ce,"CO-BRANDING AGREEMENT Women.com', 'eDiets', 'WOMEN.COM NETWORKS, INC.', 'EDIETS.COM, INC. May 22, 2000 May 22, 2000 This Agreement will become effective as of the Effective Date and, unless sooner terminated pursuant to Sections 3.1<omitted>, shall remain effective for two (2) years from and after the Effective Date (the ""Initial Term""). This Agreement shall be interpreted and enforced in accordance with the laws of the State of California as applied to agreements made, entered into and performed entirely in California by California residents, notwithstanding the actual residence of the parties, without giving effect to any choice of laws of California that would require the application of the laws of a state other than California.","Document name: CO-BRANDING AGREEMENT
Parties: WOMEN.COM NETWORKS, INC. # EDIETS.COM, INC.
Agreement date: 5/22/2000
Effective date: 5/22/2000
Expiration date: 5/22/2002
Governing law: California"
bf0ac73a-5111-4c4e-be78-931a3583ee07,"ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT Endorser', 'collectively, Lender, Endorser, and Fitness are referred to as the ""AS Parties""', 'MusclePharm Corporation', 'Lender', 'Marine MP, LLC', 'Arnold Schwarzenegger', 'Fitness', 'collectively, ""MusclePharm"" or the ""Company""', 'Fitness Publications, Inc. July 26, 2013 July 26, 2013 The Term shall commence on July 23, 2013 and shall expire on July 22, 2016, unless otherwise terminated earlier pursuant to Section 9 of this Agreement.', 'This Agreement shall have an Initial Term of three (3) years. This Agreement has been executed and delivered in Los Angeles County in the State of California, and its interpretation, validity and performance shall be construed and enforced in accordance with the laws of the State of California.","Document name: ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT
Parties: MusclePharm Corporation # Marine MP, LLC # Arnold Schwarzenegger
Agreement date: 7/26/2013
Effective date: 7/23/2013
Expiration date: 7/22/2016
Governing law: California"
f26d687b-4863-4db5-86fc-06c09011ab6e,"DEVELOPMENT AGREEMENT also known as Stryker Orthopaedics   (""Stryker"")', 'Conformis', 'Howmedica Osteonics Corp.', 'Conformis, Inc.', 'Stryker and Conformis are collectively referred to herein as the ""Parties"" and   individually as a ""Party."" September 30, 2019 September 30, 2019 The term of this Agreement shall begin as of the Effective Date and continue until Acceptance of all Deliverables   for Milestones #1 and #2 pursuant to Section 3.4 and completion of Milestone #3, unless earlier terminated under Section 8.2, as   provided for under the Other Agreements, or as mutually agreed by the Parties. This Agreement shall be governed and construed in accordance with the laws of New York State   (without regard to the conflict of laws provisions thereof).","Document name: DEVELOPMENT AGREEMENT
Parties: Stryker # Conformis # Howmedica Osteonics Corp. # Conformis, Inc.
Agreement date: 9/30/2019
Effective date: 9/30/2019
Expiration date: NA
Governing law: New York"
1bdc2e9d-4ce6-4614-afc2-a568a7a1d167,"JOINT DEVELOPMENT AGREEMENT FuelCell Energy, Inc.', 'FCE', 'ExxonMobil', 'ExxonMobil Research and Engineering Company November 5, 2019 ""Effective Date"" means October 31, 2019. Unless sooner terminated in accordance with this Article, this Agreement will continue in full force beginning on the Effective Date and ending two (2) years thereafter (""Term""). The validity and interpretation of this Agreement and the legal relations of the Parties to it will be governed by the laws of the State of New York without recourse to its conflicts of law rules.","Document name: JOINT DEVELOPMENT AGREEMENT
Parties: FuelCell Energy, Inc. # ExxonMobil Research and Engineering Company
Agreement date: 11/5/2019
Effective date: 10/31/2019
Expiration date: 10/31/2021
Governing law: New York"
dc1f4a72-9b7b-4816-88a5-d6e84b7957e1,"RECIPE DEVELOPMENT AGREEMENT B C Marketing Concepts Inc., dba Full Sail Brewing Company', ""Reed's"", ""Reed's, Inc."", 'Company October 11, 2019 October 11, 2019 The term of this Agreement shall commence on the Effective Date and shall continue for the longer of the first anniversary of the Effective Date or the duration of the Manufacturing and Distribution Agreement (the ""Term""). This Agreement shall be governed by, and any dispute arising hereunder shall be determined in accordance with, the laws of State of New York (without giving effect to conflict of laws principles) including all matters of construction, validity and performance.","Document name: RECIPE DEVELOPMENT AGREEMENT
Parties: B C Marketing Concepts Inc. # Reed's, Inc.
Agreement date: 10/11/2019
Effective date: 10/11/2019
Expiration date: 10/11/2020
Governing law: New York"
6905066f-d907-4758-8dda-fe8b02ee8bf7,"Distributorship agreement CPM Medical Consultants, LLC', 'Signature Orthopaedics Pty Ltd 29/3/18  ""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term."" This agreement and any dispute or claim arising out of or in connection with it or its subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with Ohio law.","Document name: Distributorship agreement
Parties: CPM Medical Consultants, LLC # Signature Orthopaedics Pty Ltd
Agreement date: 3/29/2018
Effective date: NA
Expiration date: 3/29/2019
Governing law: Ohio"
451238df-68cc-476e-9e0a-9182e44cdc60,"ENDORSEMENT AGREEMENT Eco Science Solutions, Inc.', 'Stephen Marley', 'Talent', 'ESSI 14th day of November 2017 14th day of November 2017 The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term""). Regardless of the place of execution hereof, this Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws and decisions of the State of Michigan.","Document name: ENDORSEMENT AGREEMENT
Parties: Eco Science Solutions, Inc. # Stephen Marley
Agreement date: 11/14/2017
Effective date: 11/14/2017
Expiration date: NA
Governing law: Michigan"
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,"COLLABORATION & ENDORSEMENT AGREEMENT Wade Enterprises, Athlete and together with Naked, are each referred to herein as a ""Party"" and collectively, the ""Parties"".', 'Naked', 'Athlete', 'Wade Enterprises', 'The Naked Brands Group, Inc.', '""Athlete"" and together with Wade Enterprises, collectively ""Wade"")', 'Wade Enterprises, LLC', 'f/s/o Dwyane Wade 15th day of June, 2015 15th day of June, 2015 The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the ""Term""). This Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws of the State of New York.","Document name: COLLABORATION & ENDORSEMENT AGREEMENT
Parties: Naked # Athlete # Wade Enterprises # The Naked Brands Group, Inc.
Agreement date: 6/15/2015
Effective date: 6/15/2015
Expiration date: 6/15/2019
Governing law: New York"
