uuid,entity_type,entity_text
17af879e-9455-4dbc-b2bc-b2b1b849e805,1,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT
17af879e-9455-4dbc-b2bc-b2b1b849e805,2,EuroMedia Holdings Corp.
17af879e-9455-4dbc-b2bc-b2b1b849e805,2,Rogers Cable Communications Inc.
17af879e-9455-4dbc-b2bc-b2b1b849e805,4,7/11/2006
17af879e-9455-4dbc-b2bc-b2b1b849e805,5,7/11/2006
17af879e-9455-4dbc-b2bc-b2b1b849e805,6,6/30/2010
17af879e-9455-4dbc-b2bc-b2b1b849e805,3,Ontario
e18e3862-8f3e-4c92-974d-b6ea8ac1ce35,1,CONTENT LICENSE AGREEMENT
e18e3862-8f3e-4c92-974d-b6ea8ac1ce35,2,"YOU ON DEMAND HOLDINGS, INC."
e18e3862-8f3e-4c92-974d-b6ea8ac1ce35,2,Beijing Sun Seven Stars Culture Development Limited
e18e3862-8f3e-4c92-974d-b6ea8ac1ce35,4,12/21/2015
e18e3862-8f3e-4c92-974d-b6ea8ac1ce35,5,12/21/2015
e18e3862-8f3e-4c92-974d-b6ea8ac1ce35,6,12/21/2035
e18e3862-8f3e-4c92-974d-b6ea8ac1ce35,3,New York
0facc77f-1d2a-4645-92d8-5abb5f88b6ce,1,CO-BRANDING AGREEMENT
0facc77f-1d2a-4645-92d8-5abb5f88b6ce,2,"WOMEN.COM NETWORKS, INC."
0facc77f-1d2a-4645-92d8-5abb5f88b6ce,2,"EDIETS.COM, INC."
0facc77f-1d2a-4645-92d8-5abb5f88b6ce,4,5/22/2000
0facc77f-1d2a-4645-92d8-5abb5f88b6ce,5,5/22/2000
0facc77f-1d2a-4645-92d8-5abb5f88b6ce,6,5/22/2002
0facc77f-1d2a-4645-92d8-5abb5f88b6ce,3,California
bf0ac73a-5111-4c4e-be78-931a3583ee07,1,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT
bf0ac73a-5111-4c4e-be78-931a3583ee07,2,MusclePharm Corporation
bf0ac73a-5111-4c4e-be78-931a3583ee07,2,"Marine MP, LLC"
bf0ac73a-5111-4c4e-be78-931a3583ee07,2,Arnold Schwarzenegger
bf0ac73a-5111-4c4e-be78-931a3583ee07,4,7/26/2013
bf0ac73a-5111-4c4e-be78-931a3583ee07,5,7/23/2013
bf0ac73a-5111-4c4e-be78-931a3583ee07,6,7/22/2016
bf0ac73a-5111-4c4e-be78-931a3583ee07,3,California
f26d687b-4863-4db5-86fc-06c09011ab6e,1,DEVELOPMENT AGREEMENT
f26d687b-4863-4db5-86fc-06c09011ab6e,2,Stryker
f26d687b-4863-4db5-86fc-06c09011ab6e,2,Conformis
f26d687b-4863-4db5-86fc-06c09011ab6e,2,Howmedica Osteonics Corp.
f26d687b-4863-4db5-86fc-06c09011ab6e,2,"Conformis, Inc."
f26d687b-4863-4db5-86fc-06c09011ab6e,4,9/30/2019
f26d687b-4863-4db5-86fc-06c09011ab6e,5,9/30/2019
f26d687b-4863-4db5-86fc-06c09011ab6e,6,
f26d687b-4863-4db5-86fc-06c09011ab6e,3,New York
1bdc2e9d-4ce6-4614-afc2-a568a7a1d167,1,JOINT DEVELOPMENT AGREEMENT
1bdc2e9d-4ce6-4614-afc2-a568a7a1d167,2,"FuelCell Energy, Inc."
1bdc2e9d-4ce6-4614-afc2-a568a7a1d167,2,ExxonMobil Research and Engineering Company
1bdc2e9d-4ce6-4614-afc2-a568a7a1d167,4,11/5/2019
1bdc2e9d-4ce6-4614-afc2-a568a7a1d167,5,10/31/2019
1bdc2e9d-4ce6-4614-afc2-a568a7a1d167,6,10/31/2021
1bdc2e9d-4ce6-4614-afc2-a568a7a1d167,3,New York
dc1f4a72-9b7b-4816-88a5-d6e84b7957e1,1,RECIPE DEVELOPMENT AGREEMENT
dc1f4a72-9b7b-4816-88a5-d6e84b7957e1,2,B C Marketing Concepts Inc.
dc1f4a72-9b7b-4816-88a5-d6e84b7957e1,2,"Reed's, Inc."
dc1f4a72-9b7b-4816-88a5-d6e84b7957e1,4,10/11/2019
dc1f4a72-9b7b-4816-88a5-d6e84b7957e1,5,10/11/2019
dc1f4a72-9b7b-4816-88a5-d6e84b7957e1,6,10/11/2020
dc1f4a72-9b7b-4816-88a5-d6e84b7957e1,3,New York
6905066f-d907-4758-8dda-fe8b02ee8bf7,1,Distributorship agreement
6905066f-d907-4758-8dda-fe8b02ee8bf7,2,"CPM Medical Consultants, LLC"
6905066f-d907-4758-8dda-fe8b02ee8bf7,2,Signature Orthopaedics Pty Ltd
6905066f-d907-4758-8dda-fe8b02ee8bf7,4,3/29/2018
6905066f-d907-4758-8dda-fe8b02ee8bf7,5,
6905066f-d907-4758-8dda-fe8b02ee8bf7,6,
6905066f-d907-4758-8dda-fe8b02ee8bf7,3,Ohio
451238df-68cc-476e-9e0a-9182e44cdc60,1,ENDORSEMENT AGREEMENT
451238df-68cc-476e-9e0a-9182e44cdc60,2,"Eco Science Solutions, Inc."
451238df-68cc-476e-9e0a-9182e44cdc60,2,Stephen Marley
451238df-68cc-476e-9e0a-9182e44cdc60,4,11/14/2017
451238df-68cc-476e-9e0a-9182e44cdc60,5,11/14/2017
451238df-68cc-476e-9e0a-9182e44cdc60,6,
451238df-68cc-476e-9e0a-9182e44cdc60,3,Michigan
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,1,COLLABORATION & ENDORSEMENT AGREEMENT
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,2,Wade Enterprises
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,2,Naked
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,2,Athlete
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,2,"The Naked Brands Group, Inc."
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,4,6/15/2015
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,5,6/15/2015
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,6,6/15/2019
5a3cd09e-df92-43cc-94f8-619c9b7e3d75,3,New York
202e98a5-2b2c-48ed-ae9f-b9a27dedf809,1,e-business Hosting Agreement IBM
202e98a5-2b2c-48ed-ae9f-b9a27dedf809,2,The Quantum Group Inc.
202e98a5-2b2c-48ed-ae9f-b9a27dedf809,2,International Business Machines Corporation
202e98a5-2b2c-48ed-ae9f-b9a27dedf809,4,
202e98a5-2b2c-48ed-ae9f-b9a27dedf809,5,
202e98a5-2b2c-48ed-ae9f-b9a27dedf809,6,
202e98a5-2b2c-48ed-ae9f-b9a27dedf809,3,New York
d6fc3b5a-e407-4846-bba9-84c55a373321,1,INTELLECTUAL PROPERTY AGREEMENT
d6fc3b5a-e407-4846-bba9-84c55a373321,2,CERENCE INC.
d6fc3b5a-e407-4846-bba9-84c55a373321,2,"NUANCE COMMUNICATIONS, INC."
d6fc3b5a-e407-4846-bba9-84c55a373321,4,9/30/2019
d6fc3b5a-e407-4846-bba9-84c55a373321,5,
d6fc3b5a-e407-4846-bba9-84c55a373321,6,
d6fc3b5a-e407-4846-bba9-84c55a373321,3,Delaware
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,1,MEDIA LICENSE AGREEMENT PFHOF
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,2,HOFV
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,2,"NATIONAL FOOTBALL MUSEUM, INC."
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,2,"HOF Village, LLC"
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,2,"HOF Village Media Group, LLC"
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,4,
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,5,
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,6,12/31/2034
ae2f0916-2139-4d74-8f15-c2bdb4f3fbca,3,Ohio
be053603-b091-4964-a2c4-2299c9e9373f,1,NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES
be053603-b091-4964-a2c4-2299c9e9373f,2,"Virtuoso Surgical, Inc."
be053603-b091-4964-a2c4-2299c9e9373f,2,The Johns Hopkins University
be053603-b091-4964-a2c4-2299c9e9373f,4,5/3/2016
be053603-b091-4964-a2c4-2299c9e9373f,5,5/11/2016
be053603-b091-4964-a2c4-2299c9e9373f,6,
